Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,127.004745925624,142.53751644387,152.451212554253,153.54199598968,161.134841398183,167.453672719815,181.218345108405,189.659550497531,195.141231652375,200.008026323987,201.464157597233,229.004814529059,283.119039472802,362.270277926471,379.444110841973,482.442681606357,460.669584892284,453.728515358499,506.176071347822,670.76840337241,927.096255871317,1052.16529154487,1107.34220133791,1043.85368529477,1060.65829763635,1015.5573870385,845.168801150344,1021.61160248362,957.249325214013,1006.14104118752,1146.81227761124,1086.56352839645,1138.21609489784,724.547842391451,649.90537181144,755.916834291727,882.42507457118,784.048105555356,639.49855766437,750.526588901351,998.196856210498,842.709067744304,886.361665299432,998.101311670601,1289.33783690965,1637.06438124572,2012.11007047306,2111.20948856339,2881.59411605216,2255.33311863864,2737.34233022991,3196.64752370824,2952.05234806594,2964.57298903058,2910.52022576864,1712.12114632566,1762.80991296879,1654.01032176396,..
"Congo, Rep.",COG,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.3,..,..,..,..,..,48.9,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.7956008911133,..,..,..,16.1000003814697,..,..,10,..,..,..,..,..,..
"Congo, Rep.",COG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,283.745256330642,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.568975,151675739.160603,166521239.86331,172233430.871484,185693724.845363,198318063.860841,220613582.369866,237397428.336411,251247458.012139,265040036.059152,274960699.858595,322128019.323599,410669262.898009,541973362.481063,585364635.354804,767102679.01869,754549600.548053,765224030.636477,878771771.290883,1198749665.95053,1705796849.54659,1993512325.92306,2160640566.53953,2097274289.61527,2193581366.40726,2160872541.4189,1849268214.68181,2297753649.27962,2212536313.33476,2389593021.94868,2798746050.58228,2724853592.73382,2933222714.11506,1918970032.40865,1769365425.04053,2116003977.97529,2540697688.05698,2322718991.26458,1949481296.60762,2353909563.94122,3219910550.39332,2794259783.08097,3019993738.77492,3495868808.0512,4648628921.36969,6087003176.11624,7731261310.93322,8394688284.06224,11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,9035848070.90357,8701334800.21976,..
Costa Rica,CRI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.2,21.7,20.6,20.7,22.4,21.7,20.5,20,..
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,..,27.064571092832,28.0568938503721,29.0738347042695,30.1026439482961,31.1324128476302,32.1618879749315,33.1905601253427,34.2120838229534,35.2195652173913,36.2096748922836,37.1790050920486,38.1325499412456,39.086231884058,40.0622796709753,41.0773012142577,42.136643164904,43.23785742264,44.3821778300039,45.5680376028202,46.7941637289463,48.0636310223267,49.3765765765766,50.7232667450059,52.0912847630239,53.4710732471602,54.8567567567568,56.2516842929886,57.6685663924794,59.1256365060713,60.6344496670584,62.1944575009792,63.7968272620447,65.4329024676851,67.0914610262436,68.7607912260086,70.4412847630239,72.1254406580494,73.7832549941246,75.3764786525656,76.8790246768508,78.2764982373678,79.5770466118292,80.8063258911085,82.0023110066588,83.1931257344301,84.3868781825304,85.5751860556208,86.7510379945163,87.9017430473952,89.0184097140619,90.0993732863298,91.1500587544066,92.1739326282805,93.1761652957305,94.160830395613,95.1287504896201,96.0785154719937,..
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1333040,1381917,1432585,1484510,1537041,1589621,1642186,1694710,1746869,1798311,1848866,1898360,1947048,1995743,2045580,2097407,2151497,2207725,2266154,2326704,2389310,2454129,2521168,2589930,2659781,2730233,2800986,2872211,2944557,3018955,3095995,3175649,3257466,3341004,3425690,3510926,3596732,3682725,3767373,3848723,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769,..
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,380.719130704896,354.81521800099,334.486836277433,344.829025611126,353.001882996353,373.033045149851,394.173151024719,412.7293866608,442.987707916062,474.684414305193,532.667136769547,567.41234659972,635.963620595836,766.088712440425,814.705244526423,934.898884945838,1121.33803853982,1391.67106991834,1554.70846632737,1734.43606200898,2022.10973091263,1069.13983506768,1033.89431208702,1215.00198994192,1376.23227584218,1435.48333068864,1577.65296612255,1578.20997383419,1567.17288828285,1739.35211603892,1844.86337567079,2257.49119952681,2618.16805481416,2854.62026487626,3045.40671386398,3279.32653257878,3230.23418259787,3408.36513397285,3614.56253390953,3688.39829282703,3808.36366581367,3981.5280733492,4062.01499922899,4167.71408921892,4425.50746330786,4697.01113800306,5245.18737330548,6120.62339974311,6911.1361524468,6809.39622366387,8199.41462069479,9186.59638994181,9985.36958968047,10569.6663143709,10630.9979007564,11393.0284206956,11767.5042491362,11677.2690372725,..
Costa Rica,CRI,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.5,..,..,..,..,34.4,..,..,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,..
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.51100015640259,5.3730001449585,3.92700004577637,3.9539999961853,4.04500007629395,5.17600011825562,6.16200017929077,5.68100023269653,5.3270001411438,5.89499998092651,5.08199977874756,5.91499996185303,6.33400011062622,6.55800008773804,6.39099979400635,6.57100009918213,5.73999977111816,4.48999977111816,4.7810001373291,7.71299982070923,7.17080020904541,10.1393995285034,..,..,..,..,..,..,..
Costa Rica,CRI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.2540036746181,30.3293743186701,40.4024775651837,40.2721732486457,38.6669747927565,39.4903697019582,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,507513829.994855,490325181.614275,479180824.348506,511902136.809973,542578367.242598,592981162.264151,647305630.188679,699456618.867925,773841494.339623,853630203.773585,984830158.490566,1077152902.29104,1238251695.55388,1528916185.23199,1666544754.09836,1960863465.5776,2412555425.90432,3072427012.83547,3523208809.80163,4035519323.22054,4831447001.16686,2623807074.2948,2606621255.01581,3146770103.81027,3660476458.87179,3919203960.39604,4418983870.96774,4532952047.15628,4614629898.40348,5251025767.47627,5711687786.75989,7168999670.28612,8528593420.84326,9537297723.43265,10432619325.6167,11513472785.7207,11618286652.0436,12552071488.0101,13617405297.0624,14195623342.7641,14949514493.4226,15913363440.5059,16504795592.9272,17195867468.4087,18529767918.1536,19952156489.4661,22600431882.9744,26743874205.8521,30612932876.3523,30562361123.0103,37268635287.1516,42262697840.4212,46473128285.4629,49745088111.6217,50577769837.691,54775994478.4981,57157992434.219,57285984447.7113,..
"Cote d'Ivoire",CIV,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.4,..,..,..,..,..,48.9,..,..,..,..,..,..,46.3,..,..,..
"Cote d'Ivoire",CIV,Population density (people per sq. km of land area),EN.POP.DNST,..,11.6169968553459,12.0788396226415,12.5689968553459,13.0753616352201,13.5905377358491,14.1107044025157,14.6426194968553,15.2021352201258,15.8112295597484,16.4855188679245,17.2306226415094,18.0417641509434,18.9115157232704,19.8279465408805,20.7817893081761,21.7703836477987,22.7950566037736,23.8550754716981,24.9505628930818,26.0807389937107,27.2454622641509,28.4417389937107,29.6626761006289,30.8995440251572,32.1464088050314,33.3970660377358,34.6529905660377,35.9253459119497,37.2303238993711,38.5778427672956,39.9685786163522,41.393141509434,42.8387767295597,44.2880849056604,45.7258490566038,47.1548710691824,48.5722830188679,49.9514213836478,51.2585943396226,52.4734622641509,53.5853836477987,54.6116886792453,55.5954559748428,56.5966603773585,57.6613301886792,58.8032547169811,60.0186823899371,61.3144213836478,62.6929748427673,64.1551289308176,65.7085251572327,67.3540974842767,69.0764528301887,70.8533018867925,72.6681509433962,74.5154685534591,76.3985849056604,..
"Cote d'Ivoire",CIV,"Population, total",SP.POP.TOTL,3558988,3694205,3841071,3996941,4157965,4321791,4487204,4656353,4834279,5027971,5242395,5479338,5737281,6013862,6305287,6608609,6922982,7248828,7585914,7934279,8293675,8664057,9044473,9432731,9826055,10222558,10620267,11019651,11424260,11839243,12267754,12710008,13163019,13622731,14083611,14540820,14995249,15445986,15884552,16300233,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750,..
"Cote d'Ivoire",CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,153.471594052014,167.35553095223,167.995942976352,190.407375498013,221.517801724046,212.821803836904,228.227429439799,232.568899340755,265.04081491166,270.757360627177,277.637032356666,289.109425643997,322.347920517677,417.106550641785,486.917074680952,589.207076749141,673.416991085098,864.287007205212,1041.47303777296,1152.33354636857,1226.91273070293,973.28404970704,836.655686474081,724.94226948022,696.275230959464,682.57378137016,862.341992471787,915.424017451069,897.666059769822,824.158319419679,880.018470125395,825.540701114639,847.295845738277,810.832972400407,590.30013327208,756.501135389684,809.538737155103,758.911907995244,793.981078525675,759.292202935166,642.254713999242,656.834565049434,710.961168329605,865.789649014533,919.806802750387,931.754286971344,951.947895564691,1065.89637469891,1242.43104388465,1217.74920575106,1219.74909551521,1214.70394645331,1250.80892415322,1423.68228222575,1568.62762832733,1715.10551782589,1493.50606064011,1537.50403108704,..
